subject,sex,age,bigram_freq,concreteness,word_freq,Initial,diversity,letters,item,correct,response_time,word_freq,trans_prob
14,0,22,0,3.07,4.75,abaya,0,6,digest,1,608,475,0
1,1,30,0,3.07,4.75,abaya,0,6,digest,1,864,475,0
19,1,46,0,3.07,4.75,abaya,0,6,digest,1,1298,475,0
22,1,29,0,4.07,4.28,panurgic,0,4,stab,1,854,428,0
25,1,47,0,4.07,4.28,panurgic,0,4,stab,1,1025,428,0
21,1,18,0,4.07,4.28,panurgic,0,4,stab,1,1047,428,0
16,1,22,0,4.07,4.28,panurgic,0,4,stab,1,1059,428,0
3,1,60,0,4.07,4.28,panurgic,0,4,stab,1,1118,428,0
9,1,46,0,4.07,4.28,panurgic,0,4,stab,1,1118,428,0
19,1,46,0,4.07,4.28,panurgic,0,4,stab,1,1360,428,0
8,1,30,0,3.69,7.98,ratite,0,5,crisp,1,401,798,0
7,0,38,0,3.69,7.98,ratite,0,5,crisp,1,406,798,0
18,1,25,0,3.69,7.98,ratite,0,5,crisp,1,411,798,0
22,1,29,0,3.69,7.98,ratite,0,5,crisp,1,431,798,0
13,1,29,0,3.69,7.98,ratite,0,5,crisp,1,467,798,0
1,1,30,0,3.69,7.98,ratite,0,5,crisp,1,477,798,0
17,1,33,0,3.69,7.98,ratite,0,5,crisp,1,499,798,0
28,1,30,0,3.69,7.98,ratite,0,5,crisp,1,515,798,0
5,1,29,0,3.69,7.98,ratite,0,5,crisp,1,521,798,0
21,1,18,0,3.69,7.98,ratite,0,5,crisp,1,540,798,0
11,1,20,0,3.69,7.98,ratite,0,5,crisp,1,540,798,0
14,0,22,0,3.69,7.98,ratite,0,5,crisp,1,561,798,0
10,1,21,0,3.69,7.98,ratite,0,5,crisp,1,568,798,0
20,1,23,0,3.69,7.98,ratite,0,5,crisp,1,570,798,0
3,1,60,0,3.69,7.98,ratite,0,5,crisp,1,579,798,0
9,1,46,0,3.69,7.98,ratite,0,5,crisp,1,579,798,0
6,1,30,0,3.69,7.98,ratite,0,5,crisp,1,580,798,0
12,0,24,0,3.69,7.98,ratite,0,5,crisp,1,616,798,0
27,1,46,0,3.69,7.98,ratite,0,5,crisp,1,618,798,0
29,0,29,0,3.69,7.98,ratite,0,5,crisp,1,801,798,0
23,1,42,0,3.69,7.98,ratite,0,5,crisp,1,822,798,0
26,0,51,0,3.69,7.98,ratite,0,5,crisp,1,827,798,0
2,1,50,0,3.69,7.98,ratite,0,5,crisp,1,829,798,0
19,1,46,0,3.69,7.98,ratite,0,5,crisp,1,859,798,0
25,1,47,0,3.69,7.98,ratite,0,5,crisp,1,887,798,0
16,1,22,0,3.69,7.98,ratite,0,5,crisp,1,1266,798,0
7,0,38,0,3.97,73.98,solander,0,4,draw,1,363,7398,0
10,1,21,0,3.97,73.98,solander,0,4,draw,1,445,7398,0
11,1,20,0,3.97,73.98,solander,0,4,draw,1,450,7398,0
17,1,33,0,3.97,73.98,solander,0,4,draw,1,452,7398,0
20,1,23,0,3.97,73.98,solander,0,4,draw,1,486,7398,0
8,1,30,0,3.97,73.98,solander,0,4,draw,1,493,7398,0
21,1,18,0,3.97,73.98,solander,0,4,draw,1,502,7398,0
13,1,29,0,3.97,73.98,solander,0,4,draw,1,502,7398,0
12,0,24,0,3.97,73.98,solander,0,4,draw,1,519,7398,0
5,1,29,0,3.97,73.98,solander,0,4,draw,1,530,7398,0
22,1,29,0,3.97,73.98,solander,0,4,draw,1,555,7398,0
27,1,46,0,3.97,73.98,solander,0,4,draw,1,569,7398,0
23,1,42,0,3.97,73.98,solander,0,4,draw,1,588,7398,0
25,1,47,0,3.97,73.98,solander,0,4,draw,1,602,7398,0
1,1,30,0,3.97,73.98,solander,0,4,draw,1,628,7398,0
2,1,50,0,3.97,73.98,solander,0,4,draw,1,668,7398,0
28,1,30,0,3.97,73.98,solander,0,4,draw,1,670,7398,0
6,1,30,0,3.97,73.98,solander,0,4,draw,1,692,7398,0
3,1,60,0,3.97,73.98,solander,0,4,draw,1,716,7398,0
9,1,46,0,3.97,73.98,solander,0,4,draw,1,716,7398,0
19,1,46,0,3.97,73.98,solander,0,4,draw,1,722,7398,0
18,1,25,0,3.97,73.98,solander,0,4,draw,1,725,7398,0
14,0,22,0,3.97,73.98,solander,0,4,draw,1,738,7398,0
26,0,51,0,3.97,73.98,solander,0,4,draw,1,843,7398,0
29,0,29,0,3.97,73.98,solander,0,4,draw,1,867,7398,0
16,1,22,0,3.97,73.98,solander,0,4,draw,1,880,7398,0
13,1,29,0,4.46,11.83,thurifer,0,4,bile,1,538,1183,0
17,1,33,0,4.46,11.83,thurifer,0,4,bile,1,579,1183,0
18,1,25,0,4.46,11.83,thurifer,0,4,bile,1,591,1183,0
12,0,24,0,4.46,11.83,thurifer,0,4,bile,1,645,1183,0
5,1,29,0,4.46,11.83,thurifer,0,4,bile,1,705,1183,0
8,1,30,0,4.46,11.83,thurifer,0,4,bile,1,748,1183,0
1,1,30,0,4.46,11.83,thurifer,0,4,bile,1,751,1183,0
23,1,42,0,4.46,11.83,thurifer,0,4,bile,1,778,1183,0
29,0,29,0,4.46,11.83,thurifer,0,4,bile,1,801,1183,0
27,1,46,0,4.46,11.83,thurifer,0,4,bile,1,867,1183,0
3,1,60,0,4.46,11.83,thurifer,0,4,bile,1,898,1183,0
9,1,46,0,4.46,11.83,thurifer,0,4,bile,1,898,1183,0
19,1,46,0,4.46,11.83,thurifer,0,4,bile,1,909,1183,0
16,1,22,0,4.46,11.83,thurifer,0,4,bile,1,918,1183,0
25,1,47,0,4.46,11.83,thurifer,0,4,bile,1,1047,1183,0
2,1,50,0,4.46,11.83,thurifer,0,4,bile,1,1091,1183,0
20,1,23,0,4.46,11.83,thurifer,0,4,bile,1,1095,1183,0
13,1,29,0,3.39,7.58,uniped,0,4,dash,1,435,758,0
11,1,20,0,3.39,7.58,uniped,0,4,dash,1,455,758,0
7,0,38,0,3.39,7.58,uniped,0,4,dash,1,463,758,0
18,1,25,0,3.39,7.58,uniped,0,4,dash,1,463,758,0
17,1,33,0,3.39,7.58,uniped,0,4,dash,1,467,758,0
14,0,22,0,3.39,7.58,uniped,0,4,dash,1,478,758,0
10,1,21,0,3.39,7.58,uniped,0,4,dash,1,490,758,0
5,1,29,0,3.39,7.58,uniped,0,4,dash,1,511,758,0
22,1,29,0,3.39,7.58,uniped,0,4,dash,1,541,758,0
8,1,30,0,3.39,7.58,uniped,0,4,dash,1,548,758,0
1,1,30,0,3.39,7.58,uniped,0,4,dash,1,578,758,0
27,1,46,0,3.39,7.58,uniped,0,4,dash,1,596,758,0
3,1,60,0,3.39,7.58,uniped,0,4,dash,1,613,758,0
9,1,46,0,3.39,7.58,uniped,0,4,dash,1,613,758,0
12,0,24,0,3.39,7.58,uniped,0,4,dash,1,676,758,0
2,1,50,0,3.39,7.58,uniped,0,4,dash,1,682,758,0
19,1,46,0,3.39,7.58,uniped,0,4,dash,1,695,758,0
23,1,42,0,3.39,7.58,uniped,0,4,dash,1,707,758,0
6,1,30,0,3.39,7.58,uniped,0,4,dash,1,727,758,0
21,1,18,0,3.39,7.58,uniped,0,4,dash,1,778,758,0
28,1,30,0,3.39,7.58,uniped,0,4,dash,1,789,758,0
20,1,23,0,3.39,7.58,uniped,0,4,dash,1,798,758,0
16,1,22,0,3.39,7.58,uniped,0,4,dash,1,824,758,0
26,0,51,0,3.39,7.58,uniped,0,4,dash,1,1019,758,0
14,0,22,0,3.28,357.58,zoolatry,0,8,business,1,412,35758,0
21,1,18,0,3.28,357.58,zoolatry,0,8,business,1,429,35758,0
13,1,29,0,3.28,357.58,zoolatry,0,8,business,1,442,35758,0
7,0,38,0,3.28,357.58,zoolatry,0,8,business,1,471,35758,0
10,1,21,0,3.28,357.58,zoolatry,0,8,business,1,487,35758,0
8,1,30,0,3.28,357.58,zoolatry,0,8,business,1,514,35758,0
11,1,20,0,3.28,357.58,zoolatry,0,8,business,1,538,35758,0
5,1,29,0,3.28,357.58,zoolatry,0,8,business,1,560,35758,0
2,1,50,0,3.28,357.58,zoolatry,0,8,business,1,582,35758,0
18,1,25,0,3.28,357.58,zoolatry,0,8,business,1,619,35758,0
23,1,42,0,3.28,357.58,zoolatry,0,8,business,1,628,35758,0
28,1,30,0,3.28,357.58,zoolatry,0,8,business,1,633,35758,0
12,0,24,0,3.28,357.58,zoolatry,0,8,business,1,691,35758,0
20,1,23,0,3.28,357.58,zoolatry,0,8,business,1,765,35758,0
6,1,30,0,3.28,357.58,zoolatry,0,8,business,1,793,35758,0
25,1,47,0,3.28,357.58,zoolatry,0,8,business,1,800,35758,0
27,1,46,0,3.28,357.58,zoolatry,0,8,business,1,809,35758,0
29,0,29,0,3.28,357.58,zoolatry,0,8,business,1,929,35758,0
22,1,29,0,3.28,357.58,zoolatry,0,8,business,1,933,35758,0
19,1,46,0,3.28,357.58,zoolatry,0,8,business,1,1380,35758,0
17,1,33,0,3.28,357.58,zoolatry,0,8,business,1,1470,35758,0
26,0,51,0,3.28,357.58,zoolatry,0,8,business,1,1488,35758,0
14,0,22,72,1.96,452.86,revolve,1,6,around,1,411,45286,0.566929134
8,1,30,72,1.96,452.86,revolve,1,6,around,1,462,45286,0.566929134
7,0,38,72,1.96,452.86,revolve,1,6,around,1,470,45286,0.566929134
10,1,21,72,1.96,452.86,revolve,1,6,around,1,477,45286,0.566929134
5,1,29,72,1.96,452.86,revolve,1,6,around,1,493,45286,0.566929134
18,1,25,72,1.96,452.86,revolve,1,6,around,1,498,45286,0.566929134
1,1,30,72,1.96,452.86,revolve,1,6,around,1,511,45286,0.566929134
23,1,42,72,1.96,452.86,revolve,1,6,around,1,537,45286,0.566929134
13,1,29,72,1.96,452.86,revolve,1,6,around,1,548,45286,0.566929134
21,1,18,72,1.96,452.86,revolve,1,6,around,1,560,45286,0.566929134
12,0,24,72,1.96,452.86,revolve,1,6,around,1,573,45286,0.566929134
27,1,46,72,1.96,452.86,revolve,1,6,around,1,627,45286,0.566929134
25,1,47,72,1.96,452.86,revolve,1,6,around,1,667,45286,0.566929134
2,1,50,72,1.96,452.86,revolve,1,6,around,1,689,45286,0.566929134
22,1,29,72,1.96,452.86,revolve,1,6,around,1,715,45286,0.566929134
3,1,60,72,1.96,452.86,revolve,1,6,around,1,734,45286,0.566929134
9,1,46,72,1.96,452.86,revolve,1,6,around,1,734,45286,0.566929134
20,1,23,72,1.96,452.86,revolve,1,6,around,1,737,45286,0.566929134
26,0,51,72,1.96,452.86,revolve,1,6,around,1,775,45286,0.566929134
6,1,30,72,1.96,452.86,revolve,1,6,around,1,776,45286,0.566929134
11,1,20,72,1.96,452.86,revolve,1,6,around,1,883,45286,0.566929134
28,1,30,72,1.96,452.86,revolve,1,6,around,1,891,45286,0.566929134
17,1,33,72,1.96,452.86,revolve,1,6,around,1,915,45286,0.566929134
19,1,46,72,1.96,452.86,revolve,1,6,around,1,1043,45286,0.566929134
24,1,48,72,1.96,452.86,revolve,1,6,around,1,1200,45286,0.566929134
8,1,30,84,4.44,55.18,sickle,1,4,cell,1,400,5518,0.509090909
1,1,30,84,4.44,55.18,sickle,1,4,cell,1,430,5518,0.509090909
10,1,21,84,4.44,55.18,sickle,1,4,cell,1,475,5518,0.509090909
13,1,29,84,4.44,55.18,sickle,1,4,cell,1,480,5518,0.509090909
5,1,29,84,4.44,55.18,sickle,1,4,cell,1,495,5518,0.509090909
17,1,33,84,4.44,55.18,sickle,1,4,cell,1,511,5518,0.509090909
3,1,60,84,4.44,55.18,sickle,1,4,cell,1,512,5518,0.509090909
9,1,46,84,4.44,55.18,sickle,1,4,cell,1,512,5518,0.509090909
