subject,sex,age,bigram_freq,concreteness,correct,diversity,word_freq,initial,letters,response_time,item,trans_prob
29,0,20,381,3.87,1,78,407.39,fifty,4,208,five,0.001747844
30,0,19,381,3.87,1,78,407.39,fifty,4,213,five,0.001747844
13,1,19,381,3.87,1,78,407.39,fifty,4,224,five,0.001747844
17,0,21,10,3.07,1,569,252.03,time,6,234,across,0.000419406
21,1,19,10,3.33,1,237,257.48,case,5,245,above,0.000693097
22,1,19,10,3.33,1,237,257.48,case,5,249,above,0.000693097
30,0,19,10,3.33,1,237,257.48,case,5,249,above,0.000693097
14,1,19,535,2.41,1,75,53.15,bloody,4,252,hell,0.001797566
31,0,25,207,4.72,1,1,22.69,barbed,4,254,wire,0.713793103
8,1,19,3624,4.14,1,92,151.14,date,5,256,award,0.003629652
12,1,20,437,4.97,1,70,65.17,acid,4,259,rain,0.006038647
6,1,19,207,4.72,1,1,22.69,barbed,4,259,wire,0.713793103
31,0,25,1769,3.27,1,498,297.82,second,4,270,half,0.001037294
18,1,19,466,3.37,1,52,98.77,index,6,274,closed,0.003869304
10,1,20,8465,4.52,1,473,365.29,last,5,276,night,0.04587156
9,1,41,10,2.22,1,517,68.51,before,6,278,actual,0.002820731
5,1,20,573,3.72,1,134,52.44,cash,4,279,flow,0.002678156
26,1,19,,,1,,,opening,7,280,phaunts,0
5,1,20,10,2.22,1,517,68.51,before,6,281,actual,0.002820731
26,1,19,535,2.41,1,75,53.15,bloody,4,282,hell,0.001797566
11,1,20,5568,4.72,1,1749,353.52,other,4,282,hand,0.00088645
6,1,19,535,2.41,1,75,53.15,bloody,4,283,hell,0.001797566
22,1,19,535,2.41,1,75,53.15,bloody,4,283,hell,0.001797566
12,1,20,573,3.72,1,134,52.44,cash,4,283,flow,0.002678156
19,1,19,10,2.38,1,505,304.1,really,4,284,able,0.00047827
26,1,19,0,4.8,1,177,189.92,building,4,285,food,0
8,1,19,,,1,,,diesel,5,286,plaub,0
25,1,18,381,3.87,1,78,407.39,fifty,4,286,five,0.001747844
10,1,20,11,2.57,1,248,50.4,give,7,286,advance,0.003258195
14,1,19,466,3.37,1,52,98.77,index,6,287,closed,0.003869304
21,1,19,573,3.72,1,134,52.44,cash,4,288,flow,0.002678156
10,1,20,10,4.4,1,468,50.78,large,5,288,adult,0.000444168
28,0,19,10,3.08,1,149,158.91,interest,7,289,account,0.000507044
6,1,19,8465,4.52,1,473,365.29,last,5,289,night,0.04587156
16,1,23,0,2.04,1,112,195.48,meet,4,289,gone,0
31,0,25,8465,4.52,1,473,365.29,last,5,290,night,0.04587156
9,1,41,10,3.32,1,975,72.9,many,6,290,active,0.000245371
14,1,19,8465,4.52,1,473,365.29,last,5,293,night,0.04587156
25,1,18,,,1,,,tenet,7,293,sprerfs,0
28,0,19,512,4.3,1,74,93.39,daily,4,294,post,0.003276969
20,1,19,3624,4.14,1,92,151.14,date,5,294,award,0.003629652
8,1,19,10,3.03,1,567,98.07,always,6,295,accept,0.000237951
21,1,19,0,4.8,1,177,189.92,building,4,295,food,0
31,0,25,10,3.33,1,237,257.48,case,5,295,above,0.000693097
12,1,20,10,2.22,1,517,68.51,before,6,296,actual,0.002820731
12,1,20,10,3.33,1,237,257.48,case,5,297,above,0.000693097
