age,bigram_frequency,concreteness,correct,diversity,word_freq,initial,letters,response_time,sex,subject,item,trans_prob
20,28,2.38,1,19,30410,scarcely,4,413,1,1,able,0.007159905
19,0,2.31,1,0,5780,ribbed,7,414,0,11,absence,0
21,0,3.32,1,0,7290,wicket,6,414,1,20,active,0
20,0,3.08,1,0,15891,oaf,7,414,1,25,account,0
19,0,3.33,1,0,25748,dissemble,5,414,1,27,above,0
20,0,3.32,1,0,7290,wicket,6,414,1,8,active,0
21,0,1.52,1,0,2682878,drubs,3,415,1,16,and,0
20,0,3.97,1,0,966,comely,6,415,1,19,aboard,0
21,0,3.97,1,0,966,comely,6,415,1,20,aboard,0
21,0,3.07,1,0,25203,assemblage,6,416,0,2,across,0
20,0,2.38,1,0,30410,yonder,4,416,0,32,able,0
20,0,3.32,1,0,7290,wicket,6,416,0,4,active,0
20,0,3.97,1,0,966,comely,6,416,1,8,aboard,0
19,0,4.4,1,0,5078,saccade,5,417,1,3,adult,0
22,0,4.11,1,0,19076,exclaim,3,417,0,31,air,0
20,0,2.73,1,0,10437,ley,6,417,0,32,advice,0
22,14,2.71,1,787,10940,any,6,418,0,17,access,0.0000886
22,11,4.11,1,122,19076,former,3,418,0,17,air,0.001237259
19,336,1.77,1,1743,197116,with,5,418,1,27,about,0.0000261
21,35,3.08,1,750,15891,our,7,419,1,16,account,0.000336821
19,0,2.12,1,0,117138,trellis,5,419,0,23,after,0
19,25,2.86,1,155,22099,common,6,419,1,24,action,0.000712368
20,336,1.77,1,1743,197116,with,5,419,1,29,about,0.0000261
20,21,3.32,1,201,7290,under,6,419,1,6,active,0.004194452
19,0,2.71,1,0,3597,opulent,5,420,0,11,abuse,0
21,25,2.86,1,155,22099,common,6,420,1,15,action,0.000712368
21,22,1.8,1,240,56208,white,7,420,0,2,against,0.000814531
21,10,3.48,1,103,1637,natural,6,420,0,2,allies,0.015857492
21,153,2.31,1,1375,5780,their,7,420,1,22,absence,0.0000422
19,100,3.14,1,125,4254,kept,5,420,1,26,alive,0.002446526
