acc,accuracy,age,average_response_time,avg_rt,background,bidi,block,canvas_backend,clock_backend,color_backend,compensation,consent,coordinates,correct,correct_Instructions,correct_new_sketchpad,correct_new_sketchpad_1,correct_new_touch_response_4,correct_new_touch_response_4_1,correct_new_touch_response_4_2,correct_new_touch_response_4_3,correct_new_touch_response_4_4,correct_new_touch_response_4_5,count_Age,count_Consent,count_Instructions,count_Prac_block,count_Sex,count_block_1,count_block_2,count_block_3,count_block_4,count_block_5,count_experiment,count_feedback,count_incongruent_block,count_new_feedback_1,count_new_logger_5,count_new_logger_5_1,count_new_logger_5_2,count_new_logger_5_3,count_new_logger_5_4,count_new_logger_5_5,count_new_reset_feedback,count_new_sketchpad,count_new_sketchpad_1,count_new_sketchpad_11,count_new_sketchpad_11_1,count_new_sketchpad_11_1_1,count_new_sketchpad_11_1_2,count_new_sketchpad_11_1_3,count_new_sketchpad_11_1_4,count_new_sketchpad_11_1_5,count_new_sketchpad_11_2,count_new_sketchpad_11_3,count_new_sketchpad_11_4,count_new_sketchpad_11_5,count_new_sketchpad_11_6,count_new_touch_response_4,count_new_touch_response_4_1,count_new_touch_response_4_2,count_new_touch_response_4_3,count_new_touch_response_4_4,count_new_touch_response_4_5,count_notes,count_trial_sequence_1,count_trial_sequence_2,count_trial_sequence_3,count_trial_sequence_4,count_trial_sequence_5,count_trial_sequence_6,count_trial_sequence_7,cursor_x,cursor_y,datetime,description,device_dpi,device_is_tablet,device_resolution_height,device_resolution_width,device_screen_diag,disable_garbage_collection,dm_source_file,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,form_var,freq,fullscreen,height,key,distance,keyboard_backend,live_row,live_row_Prac_block,live_row_block_1,loc,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_feedback,response_new_sketchpad,response_new_sketchpad_1,response_new_touch_response_4,response_new_touch_response_4_1,response_new_touch_response_4_2,response_new_touch_response_4_3,response_new_touch_response_4_4,response_new_touch_response_4_5,response_time,response_time_Instructions,response_time_feedback,response_time_new_sketchpad,response_time_new_sketchpad_1,response_time_new_touch_response_4,response_time_new_touch_response_4_1,response_time_new_touch_response_4_2,response_time_new_touch_response_4_3,response_time_new_touch_response_4_4,response_time_new_touch_response_4_5,round_decimals,sampler_backend,sex,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,time_Age,time_Consent,time_Instructions,time_Prac_block,time_Sex,time_block_1,time_block_2,time_block_3,time_block_4,time_block_5,time_experiment,time_feedback,time_incongruent_block,time_new_feedback_1,time_new_logger_5,time_new_logger_5_1,time_new_logger_5_2,time_new_logger_5_3,time_new_logger_5_4,time_new_logger_5_5,time_new_reset_feedback,time_new_sketchpad,time_new_sketchpad_1,time_new_sketchpad_11,time_new_sketchpad_11_1,time_new_sketchpad_11_1_1,time_new_sketchpad_11_1_2,time_new_sketchpad_11_1_3,time_new_sketchpad_11_1_4,time_new_sketchpad_11_1_5,time_new_sketchpad_11_2,time_new_sketchpad_11_3,time_new_sketchpad_11_4,time_new_sketchpad_11_5,time_new_sketchpad_11_6,time_new_touch_response_4,time_new_touch_response_4_1,time_new_touch_response_4_2,time_new_touch_response_4_3,time_new_touch_response_4_4,time_new_touch_response_4_5,time_notes,time_trial_sequence_1,time_trial_sequence_2,time_trial_sequence_3,time_trial_sequence_4,time_trial_sequence_5,time_trial_sequence_6,time_trial_sequence_7,title,total_correct,total_response_time,total_responses,tp,uniform_coordinates,width
100,100,29,574.8469945,574.8469945,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,15,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1064,257,10/05/2017 12:13,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-4.csv,Exp9_8colours_v3.osexp,C:\Users\bluey\Desktop,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,,4,C:/Users/bluey/Desktop/subject-4.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,6,7,7,7,7,4,551,8285,NA,2194,2699,488,524,446,544,530,551,2,legacy,Male,1024,2,48000,-16,experiment,4,even,droid,10097,NA,31869,42355,NA,56003,79891,103377,127030,149847,3239,NA,NA,NA,53281,79870,103358,149828,127010,171781,NA,40157,53301,52788,53281,79869,103358,149828,127010,171781,79340,102905,149278,126475,171224,52788,79340,102905,149278,126475,171224,NA,79337,NA,52785,102903,149274,126473,171221,Runtime for Android template,183,105197,183,0.11,no,1280
98.90710383,98.90710383,18,431.4153005,431.4153005,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1125,239,10/25/17 10:53:31,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-29.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-29.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,7,7,7,7,7,4,522,559,NA,454,735,369,362,366,439,386,522,2,legacy,Male,1024,2,48000,-16,experiment,29,odd,droid,5497,NA,11556,12571,NA,21076,40159,58813,77341,96636,2071,NA,NA,NA,NA,40109,58773,96597,77301,115021,NA,12117,20340,19962,20333,40109,58773,96597,77301,115021,39745,58406,96156,76912,114497,19962,39745,58406,96156,76913,114497,NA,39744,NA,19960,58405,96155,76911,114496,Runtime for Android template,181,78949,183,0.11,no,1280
100,100,18,516.8360656,516.8360656,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,15,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1088,290,10/30/17 15:58:48,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-36.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Desktop,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,,4,C:/Users/russe/Desktop/subject-36.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,4,7,7,7,7,4,559,12619,NA,1711,15771,498,486,488,459,412,559,2,legacy,Female,1024,2,48000,-16,experiment,36,even,droid,26067,NA,48776,63116,NA,89025,110979,132607,153844,174443,2700,NA,NA,NA,73229,110958,132588,174424,153820,194524,NA,61400,73252,72726,73229,110958,132588,174424,153820,194524,110466,132095,173959,153403,193959,72726,110466,132095,173959,153403,193960,NA,110464,NA,72724,132093,173956,153401,193957,Runtime for Android template,183,94581,183,0.11,no,1280
100,100,19,501.5300546,501.5300546,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,15,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1102,265,10/23/17 13:51:06,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-17.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Desktop,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,,4,C:/Users/bluey/Desktop/subject-17.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,3,7,7,7,7,4,431,2504,NA,1263,8722,511,431,446,481,512,431,2,legacy,Female,1024,2,48000,-16,experiment,17,odd,droid,10513,NA,18278,22052,NA,40927,62715,83427,103467,124478,2787,NA,NA,NA,32182,62690,83403,124450,103444,144263,NA,20786,32201,31665,32182,62690,83403,124450,103444,144263,62253,82954,123964,102927,143827,31666,62253,82954,123964,102927,143828,NA,62251,NA,31664,82949,123961,102925,143825,Runtime for Android template,183,91780,183,0.11,no,1280
100,100,19,494.5245902,494.5245902,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,15,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1026,285,10/23/17 13:54:22,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-18.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Desktop,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,,4,C:/Users/bluey/Desktop/subject-18.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,8,7,7,7,7,4,519,5245,NA,835,2178,552,398,476,472,478,519,2,legacy,Male,1024,2,48000,-16,experiment,18,even,droid,5568,NA,13819,19907,NA,31818,52462,73768,93972,114330,2629,NA,NA,NA,29609,52444,73748,114311,93950,133618,NA,19068,29635,29055,29609,52444,73748,114311,93950,133618,52042,73268,113834,93466,133092,29055,52042,73268,113834,93467,133092,NA,52040,NA,29051,73266,113833,93464,133090,Runtime for Android template,183,90498,183,0.11,no,1280
97.81420765,97.81420765,19,455.1584699,455.1584699,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1069,255,10/25/17 10:19:35,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-22.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-22.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,3,7,7,7,7,4,498,823,NA,1247,783,513,522,496,416,405,498,2,legacy,Female,1024,2,48000,-16,experiment,22,even,droid,16541,NA,20710,22781,NA,32461,53399,73720,93746,113543,2042,NA,NA,NA,NA,53302,73582,113511,93703,131375,NA,21534,31678,31156,31670,53302,73582,113511,93702,131375,52779,73085,113093,93296,130875,31156,52779,73085,113093,93296,130875,NA,52778,NA,31155,73083,113091,93295,130873,Runtime for Android template,179,83294,183,0.11,no,1280
97.81420765,97.81420765,19,443.5409836,443.5409836,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1048,274,10/25/17 10:29:06,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-24.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-24.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,6,7,7,7,7,4,429,636,NA,558,5662,505,414,482,312,352,429,2,legacy,Female,1024,2,48000,-16,experiment,24,even,droid,5434,NA,9685,10882,NA,25057,45040,65020,84605,103365,2044,NA,NA,NA,NA,45003,64875,103324,84571,122084,NA,10323,19395,18880,19386,45003,64875,103324,84571,122084,44587,64391,103010,84218,121652,18880,44587,64391,103010,84218,121652,NA,44585,NA,18879,64389,103009,84217,121650,Runtime for Android template,179,81168,183,0.11,no,1280
98.36065574,98.36065574,19,429.579235,429.579235,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1010,300,10/25/17 10:33:01,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-25.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-25.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,1,7,7,7,7,4,459,758,NA,519,510,393,496,357,352,363,459,2,legacy,Male,1024,2,48000,-16,experiment,25,odd,droid,13386,NA,22380,23659,NA,31594,50844,70032,88697,107137,2061,NA,NA,NA,NA,50796,69996,107101,88652,124917,NA,23139,31084,30682,31076,50796,69996,107101,88652,124917,50298,69637,106746,88287,124455,30682,50298,69637,106746,88287,124455,NA,50296,NA,30681,69636,106745,88286,124454,Runtime for Android template,180,78613,183,0.11,no,1280
97.81420765,97.81420765,19,411.5519126,411.5519126,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,971,364,10/25/17 10:38:06,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-26.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-26.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,3,7,7,7,7,4,511,599,NA,447,735,415,426,373,371,359,511,2,legacy,Female,1024,2,48000,-16,experiment,26,even,droid,10353,NA,15166,16213,NA,24381,43020,60817,79178,97758,2050,NA,NA,NA,NA,42982,60782,97719,79135,114735,NA,15766,23646,23221,23638,42982,60782,97718,79135,114735,42554,60408,97345,78774,114222,23221,42555,60408,97345,78774,114222,NA,42553,NA,23220,60407,97344,78773,114221,Runtime for Android template,179,75314,183,0.11,no,1280
96.17486339,96.17486339,19,418.5300546,418.5300546,#ffffff,no,5,droid,legacy,legacy,0,I confirm that my participation has been explained and consent to taking part in the experiment,relative,1,undefined,undefined,undefined,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36,36,36,36,34,0,0,0,15,15,36,36,36,36,34,36,36,36,36,34,15,36,36,36,36,34,0,36,NA,15,36,36,36,34,1003,318,10/25/17 10:41:40,A template containing a practice and an experimental phase,96,no,800,1280,15.72330189,yes,subject-27.csv,Exp9_8colours_v3.osexp,C:\Users\russe\Dropbox,no,mono,no,32,no,#000000,no,I confirm that my participation has been explained and consent to taking part in the experiment,NA,1,yes,800,44,0.000001,droid,34,15,36,4,C:/Users/russe/Desktop/subject-27.csv,droid,Jazzy James,3.1.7,0,4,1,NA,1,1,8,7,7,7,7,4,466,563,NA,495,3654,429,381,343,389,339,466,2,legacy,Female,1024,2,48000,-16,experiment,27,odd,droid,5308,NA,8769,9828,NA,21092,39778,58199,76745,94629,2052,NA,NA,NA,NA,39733,58157,94598,76709,112126,NA,9333,17437,16999,17429,39733,58157,94598,76709,112126,39350,57813,94207,76368,111657,16999,39350,57813,94207,76369,111657,NA,39349,NA,16997,57811,94205,76367,111655,Runtime for Android template,176,76591,183,0.11,no,1280
