subject,sex,age,bigram_freq,concreteness,Initial,diversity,letters,item,correct,response_time,trans_prob,word_freq
27,1,46,8465,4.52,last,473,5,night,1,239,0.117273004,36529
27,1,46,198,3.17,funny,62,5,thing,1,255,0.044097996,35211
27,1,46,381,3.87,fifty,78,4,five,1,298,0.044395246,40739
14,0,22,255,3.24,toxic,20,5,waste,1,319,0.209016393,6762
7,0,38,1872,2.69,armed,40,6,forces,1,327,0.390162568,11775
14,0,22,4525,2,have,1900,4,done,1,331,0.009552601,35473
27,1,46,305,4.75,fleet,25,6,street,1,346,0.135736538,19614
14,0,22,508,4.9,credit,109,4,card,1,352,0.068881356,5739
14,0,22,535,2.41,bloody,75,4,hell,1,355,0.07397677,5315
14,0,22,2083,4.89,their,3442,8,children,1,355,0.00798332,46608
7,0,38,4525,2,have,1900,4,done,1,358,0.009552601,35473
14,0,22,311,2.07,recent,203,5,times,1,363,0.019611553,29910
7,0,38,207,4.72,barbed,1,4,wire,1,364,0.713793103,2269
20,1,23,508,4.9,credit,109,4,card,1,371,0.068881356,5739
7,0,38,243,2.89,rapid,53,6,growth,1,374,0.06740638,12982
14,0,22,187,4.7,eighth,21,4,army,1,382,0.146322379,11441
7,0,38,437,4.97,acid,70,4,rain,1,385,0.087962963,6517
7,0,38,5568,4.72,other,1749,4,hand,1,386,0.039172647,35352
27,1,46,255,3.24,toxic,20,5,waste,1,387,0.209016393,6762
20,1,23,452,3.52,ozone,14,5,layer,1,387,0.351750973,2543
20,1,23,207,4.72,barbed,1,4,wire,1,388,0.713793103,2269
14,0,22,198,3.17,funny,62,5,thing,1,389,0.044097996,35211
13,1,29,234,4.25,bile,17,4,acid,1,391,0.197802198,4968
23,1,42,5568,4.72,other,1749,4,hand,1,394,0.039172647,35352
25,1,47,305,4.75,fleet,25,6,street,1,395,0.135736538,19614
14,0,22,4530,1.73,make,376,4,sure,1,395,0.056994753,24595
14,0,22,305,4.75,fleet,25,6,street,1,397,0.135736538,19614
7,0,38,198,3.17,funny,62,5,thing,1,398,0.044097996,35211
7,0,38,428,3.38,rugby,39,5,union,1,402,0.124238026,17607
27,1,46,311,2.07,recent,203,5,times,1,404,0.019611553,29910
14,0,22,461,2.52,good,850,8,practice,1,404,0.005705799,17114
1,1,30,198,3.17,funny,62,5,thing,1,410,0.044097996,35211
27,1,46,599,4.79,inner,65,4,city,1,412,0.133407572,23247
13,1,29,243,2.89,rapid,53,6,growth,1,413,0.06740638,12982
13,1,29,4525,2,have,1900,4,done,1,413,0.009552601,35473
8,1,30,508,4.9,credit,109,4,card,1,414,0.068881356,5739
10,1,21,4525,2,have,1900,4,done,1,417,0.009552601,35473
13,1,29,255,3.24,toxic,20,5,waste,1,421,0.209016393,6762
14,0,22,512,4.3,daily,74,4,post,1,422,0.067112335,9339
22,1,29,4525,2,have,1900,4,done,1,423,0.009552601,35473
14,0,22,5568,4.72,other,1749,4,hand,1,425,0.039172647,35352
2,1,50,5568,4.72,other,1749,4,hand,1,427,0.039172647,35352
14,0,22,599,4.79,inner,65,4,city,1,428,0.133407572,23247
7,0,38,305,4.75,fleet,25,6,street,1,431,0.135736538,19614
10,1,21,1815,3.32,award,50,5,title,1,431,0.120087336,9790
13,1,29,305,4.75,fleet,25,6,street,1,432,0.135736538,19614
7,0,38,3624,4.14,date,92,5,award,1,433,0.222946786,15114
14,0,22,2745,3.22,wide,115,5,range,1,433,0.226279779,20427
14,0,22,466,3.37,index,52,6,closed,1,436,0.100171969,9877
5,1,29,2083,4.89,their,3442,8,children,1,437,0.00798332,46608
1,1,30,243,2.89,rapid,53,6,growth,1,437,0.06740638,12982
27,1,46,428,3.38,rugby,39,5,union,1,437,0.124238026,17607
13,1,29,198,3.17,funny,62,5,thing,1,437,0.044097996,35211
10,1,21,5568,4.72,other,1749,4,hand,1,437,0.039172647,35352
10,1,21,305,4.75,fleet,25,6,street,1,438,0.135736538,19614
7,0,38,512,4.3,daily,74,4,post,1,439,0.067112335,9339
14,0,22,207,4.72,barbed,1,4,wire,1,441,0.713793103,2269
23,1,42,2745,3.22,wide,115,5,range,1,443,0.226279779,20427
7,0,38,573,3.72,cash,134,4,flow,1,445,0.066721006,5244
10,1,21,243,2.89,rapid,53,6,growth,1,445,0.06740638,12982
23,1,42,381,3.87,fifty,78,4,five,1,446,0.044395246,40739
14,0,22,452,3.52,ozone,14,5,layer,1,447,0.351750973,2543
13,1,29,461,2.52,good,850,8,practice,1,447,0.005705799,17114
7,0,38,1815,3.32,award,50,5,title,1,448,0.120087336,9790
7,0,38,599,4.79,inner,65,4,city,1,450,0.133407572,23247
27,1,46,573,3.72,cash,134,4,flow,1,450,0.066721006,5244
23,1,42,3624,4.14,date,92,5,award,1,450,0.222946786,15114
14,0,22,3624,4.14,date,92,5,award,1,450,0.222946786,15114
10,1,21,8465,4.52,last,473,5,night,1,450,0.117273004,36529
