subject,sex,age,bigram_freq,Conc_initial,concreteness,Freq_initial,word_freq,Group,Initial,diversity,Letters_initial,letters,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,Syll_initial,Syll_trailing,item,W_NW,accuracy,correct,correct_response,response_time,word_freq,freq_init,trans_prob
14,0,22,0,,3.07,,4.75,No diversity,abaya,#N/A,5,6,Noun,Verb,,6,3,2,digest,w,89.31623932,1,[word_response],608,475,0,0
1,1,30,0,,3.07,,4.75,No diversity,abaya,#N/A,5,6,Noun,Verb,,6,3,2,digest,w,74.28571429,1,[word_response],864,475,0,0
19,1,46,0,,3.07,,4.75,No diversity,abaya,#N/A,5,6,Noun,Verb,,6,3,2,digest,w,87.23404255,1,[word_response],1298,475,0,0
22,1,29,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,95.68106312,1,[word_response],854,428,0,0
25,1,47,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,80.51948052,1,[word_response],1025,428,0,0
21,1,18,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,88.18897638,1,[word_response],1047,428,0,0
16,1,22,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,88.97058824,1,[word_response],1059,428,0,0
3,1,60,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,85.85858586,1,[word_response],1118,428,0,0
9,1,46,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,85.85858586,1,[word_response],1118,428,0,0
19,1,46,0,,4.07,,4.28,No diversity,panurgic,#N/A,8,4,Adjective,Noun,,3,3,1,stab,w,90.77809798,1,[word_response],1360,428,0,0
8,1,30,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,90.65420561,1,[word_response],401,798,0,0
7,0,38,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,89.20634921,1,[word_response],406,798,0,0
18,1,25,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,92.54143646,1,[word_response],411,798,0,0
22,1,29,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,95.84569733,1,[word_response],431,798,0,0
13,1,29,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,97.5,1,[word_response],467,798,0,0
1,1,30,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,81.46341463,1,[word_response],477,798,0,0
17,1,33,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,97.81659389,1,[word_response],499,798,0,0
28,1,30,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,89.88764045,1,[word_response],515,798,0,0
5,1,29,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,95.43147208,1,[word_response],521,798,0,0
21,1,18,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,87.55980861,1,[word_response],540,798,0,0
11,1,20,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,93.19727891,1,[word_response],540,798,0,0
14,0,22,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,89.86013986,1,[word_response],561,798,0,0
10,1,21,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,95.41547278,1,[word_response],568,798,0,0
20,1,23,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,94.85294118,1,[word_response],570,798,0,0
3,1,60,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,86.21794872,1,[word_response],579,798,0,0
9,1,46,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,86.21794872,1,[word_response],579,798,0,0
6,1,30,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,80.17492711,1,[word_response],580,798,0,0
12,0,24,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,92.59259259,1,[word_response],616,798,0,0
27,1,46,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,85.26315789,1,[word_response],618,798,0,0
29,0,29,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,96.42857143,1,[word_response],801,798,0,0
23,1,42,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,87.68328446,1,[word_response],822,798,0,0
26,0,51,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,81.60535117,1,[word_response],827,798,0,0
2,1,50,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,90.4494382,1,[word_response],829,798,0,0
19,1,46,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,90.32258065,1,[word_response],859,798,0,0
25,1,47,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,79.14691943,1,[word_response],887,798,0,0
16,1,22,0,,3.69,,7.98,No diversity,ratite,#N/A,6,5,Adjective,Adjective,,5,2,1,crisp,w,90.18404908,1,[word_response],1266,798,0,0
7,0,38,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,89.59537572,1,[word_response],363,7398,0,0
10,1,21,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,95.54140127,1,[word_response],445,7398,0,0
11,1,20,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,93.49112426,1,[word_response],450,7398,0,0
