bigram_freq,concreteness,word_freq,Initial,key,diversity,letters,item,correct,response_time,subject,age,sex
383,4.04,173.09,about,abouteight,0,5,eight,1,1519,2,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,370,3,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,555,4,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,507,6,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,535,7,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,375,8,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,648,10,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,425,11,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,1212,12,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,414,15,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,478,16,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,461,18,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,1040,19,18,0
383,4.04,173.09,about,abouteight,0,5,eight,1,580,20,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,565,22,31,1
383,4.04,173.09,about,abouteight,0,5,eight,1,422,23,34,1
383,4.04,173.09,about,abouteight,0,5,eight,1,379,24,30,1
383,4.04,173.09,about,abouteight,0,5,eight,1,370,28,18,0
383,4.04,173.09,about,abouteight,0,5,eight,1,580,29,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,580,30,18,1
383,4.04,173.09,about,abouteight,0,5,eight,1,720,31,30,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,595,1,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,529,2,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,616,3,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,386,4,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,462,5,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,557,6,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,415,8,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,479,9,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,438,10,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,476,11,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,695,12,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,472,14,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,665,15,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,547,16,18,1
0,2.07,147.74,acronym,acronymeasy,0,4,easy,1,427,17,18,1
