age,bigram_freq,concreteness,correct,diversity,dm_source_file,initial,item,letters,response_time,sex,subject,trans_prob,word_freq
42,0,3.3,1,0,Exp1_data.csv,abase,number,6,431,1,23,0,49385
38,0,3.3,1,0,Exp1_data.csv,abase,number,6,489,0,7,0,49385
22,0,3.3,1,0,Exp1_data.csv,abase,number,6,506,0,14,0,49385
21,0,3.3,1,0,Exp1_data.csv,abase,number,6,508,1,10,0,49385
22,0,4.8,1,177,Exp1_data.csv,building,food,4,366,0,14,0,18992
50,0,3.3,1,0,Exp1_data.csv,abase,number,6,549,1,2,0,49385
20,0,3.3,1,0,Exp1_data.csv,abase,number,6,571,1,11,0,49385
29,0,3.3,1,0,Exp1_data.csv,abase,number,6,608,1,22,0,49385
46,0,3.3,1,0,Exp1_data.csv,abase,number,6,610,1,27,0,49385
30,0,3.3,1,0,Exp1_data.csv,abase,number,6,640,1,8,0,49385
30,0,4.8,1,177,Exp1_data.csv,building,food,4,401,1,8,0,18992
24,0,3.3,1,0,Exp1_data.csv,abase,number,6,706,0,12,0,49385
51,0,3.3,1,0,Exp1_data.csv,abase,number,6,763,0,26,0,49385
23,0,3.3,1,0,Exp1_data.csv,abase,number,6,794,1,20,0,49385
30,0,3.3,1,0,Exp1_data.csv,abase,number,6,815,1,28,0,49385
25,0,3.3,1,0,Exp1_data.csv,abase,number,6,924,1,18,0,49385
22,0,3.3,1,0,Exp1_data.csv,abase,number,6,926,1,16,0,49385
60,0,3.3,1,0,Exp1_data.csv,abase,number,6,972,1,3,0,49385
46,0,3.3,1,0,Exp1_data.csv,abase,number,6,972,1,9,0,49385
30,0,3.3,1,0,Exp1_data.csv,abase,number,6,1091,1,6,0,49385
38,0,2.03,1,0,Exp1_data.csv,berate,involved,8,413,0,7,0,19964
46,0,2.03,1,0,Exp1_data.csv,berate,involved,8,417,1,27,0,19964
29,0,2.03,1,0,Exp1_data.csv,berate,involved,8,457,1,13,0,19964
33,0,2.03,1,0,Exp1_data.csv,berate,involved,8,506,1,17,0,19964
18,0,2.03,1,0,Exp1_data.csv,berate,involved,8,543,1,21,0,19964
21,0,2.03,1,0,Exp1_data.csv,berate,involved,8,556,1,10,0,19964
42,0,2.03,1,0,Exp1_data.csv,berate,involved,8,591,1,23,0,19964
24,0,2.03,1,0,Exp1_data.csv,berate,involved,8,606,0,12,0,19964
20,0,2.03,1,0,Exp1_data.csv,berate,involved,8,658,1,11,0,19964
25,0,2.03,1,0,Exp1_data.csv,berate,involved,8,711,1,18,0,19964
29,0,2.03,1,0,Exp1_data.csv,berate,involved,8,712,1,5,0,19964
30,0,2.03,1,0,Exp1_data.csv,berate,involved,8,717,1,28,0,19964
23,0,2.03,1,0,Exp1_data.csv,berate,involved,8,737,1,20,0,19964
30,0,2.03,1,0,Exp1_data.csv,berate,involved,8,741,1,1,0,19964
22,0,2.03,1,0,Exp1_data.csv,berate,involved,8,744,0,14,0,19964
29,0,2.03,1,0,Exp1_data.csv,berate,involved,8,755,1,22,0,19964
60,0,2.03,1,0,Exp1_data.csv,berate,involved,8,914,1,3,0,19964
46,0,2.03,1,0,Exp1_data.csv,berate,involved,8,914,1,9,0,19964
30,0,2.03,1,0,Exp1_data.csv,berate,involved,8,940,1,8,0,19964
50,0,2.03,1,0,Exp1_data.csv,berate,involved,8,994,1,2,0,19964
29,0,2.03,1,0,Exp1_data.csv,berate,involved,8,1133,0,29,0,19964
46,0,2.03,1,0,Exp1_data.csv,berate,involved,8,1213,1,19,0,19964
38,0,4.8,1,177,Exp1_data.csv,building,food,4,477,0,7,0,18992
30,0,4.8,1,177,Exp1_data.csv,building,food,4,480,1,28,0,18992
42,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,430,1,23,0,11469
38,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,481,0,7,0,11469
22,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,484,0,14,0,11469
25,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,514,1,18,0,11469
30,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,554,1,8,0,11469
30,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,597,1,28,0,11469
23,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,617,1,20,0,11469
29,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,645,1,22,0,11469
60,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,688,1,3,0,11469
46,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,688,1,9,0,11469
20,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,690,1,11,0,11469
50,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,764,1,2,0,11469
21,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,793,1,10,0,11469
30,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,974,1,6,0,11469
46,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,1066,1,19,0,11469
22,0,4,1,5,Exp1_data.csv,chilli,call,4,359,0,14,0,19484
24,0,2.41,1,8,Exp1_data.csv,briskly,allow,5,1183,0,12,0,11469
38,0,4,1,5,Exp1_data.csv,chilli,call,4,381,0,7,0,19484
46,0,4,1,5,Exp1_data.csv,chilli,call,4,402,1,27,0,19484
30,0,4,1,5,Exp1_data.csv,chilli,call,4,418,1,1,0,19484
21,0,4,1,5,Exp1_data.csv,chilli,call,4,435,1,10,0,19484
30,0,4,1,5,Exp1_data.csv,chilli,call,4,472,1,8,0,19484
