age,bigram_freq,bigram_frequency,concreteness,correct,diversity,dm_source_file,initial,item,key,letters,response_time,sex,subject_nr,trans_prob,word_freq
27.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,416.0,1.0,1.0,0.0,493.85
23.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,1061.0,1.0,2.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,846.0,0.0,3.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,520.0,1.0,4.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,972.0,1.0,5.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,1175.0,1.0,6.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,685.0,1.0,7.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,339.0,1.0,8.0,0.0,493.85
41.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,990.0,1.0,9.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,1111.0,1.0,10.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,1019.0,1.0,11.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,425.0,1.0,12.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,783.0,1.0,13.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,894.0,1.0,14.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,669.0,1.0,15.0,0.0,493.85
23.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,480.0,1.0,16.0,0.0,493.85
21.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,627.0,0.0,17.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,891.0,1.0,18.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,1030.0,1.0,19.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,697.0,1.0,20.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,971.0,1.0,21.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,960.0,1.0,22.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,881.0,1.0,23.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,371.0,1.0,24.0,0.0,493.85
18.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,897.0,1.0,25.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,972.0,1.0,26.0,0.0,493.85
22.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,688.0,1.0,27.0,0.0,493.85
19.0,0.0,,3.3,0.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,344.0,0.0,28.0,0.0,493.85
20.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,650.0,0.0,29.0,0.0,493.85
19.0,0.0,,3.3,1.0,0.0,Exp1_raw.xlsx,abase,number,,6.0,841.0,0.0,30.0,0.0,493.85
