age,correct,key,response,response_time,sex,subject_nr,tp
19,1,NA,15,800,Female,1,NA
19,1,NA,10,382,Female,1,NA
19,1,NA,3,445,Female,1,NA
19,1,NA,22,539,Female,1,NA
19,1,NA,17,414,Female,1,NA
19,1,NA,2,546,Female,1,NA
19,1,NA,16,440,Female,1,NA
19,1,NA,8,429,Female,1,NA
19,1,NA,4,464,Female,1,NA
19,1,NA,14,568,Female,1,NA
19,1,NA,5,548,Female,1,NA
19,1,NA,23,463,Female,1,NA
19,1,NA,9,485,Female,1,NA
19,1,NA,11,421,Female,1,NA
19,0,NA,19,456,Female,1,NA
19,1,NA,21,503,Female,1,NA
19,1,oe,8,714,Female,1,0.125
19,1,ee,8,412,Female,1,0.16667
19,1,ek,16,386,Female,1,0.08333
19,1,kc,4,428,Female,1,0.125
19,1,cl,17,416,Female,1,0.1
19,1,lm,20,417,Female,1,0.25
19,1,me,8,464,Female,1,0.22222
19,1,ea,2,450,Female,1,0.08333
19,1,ao,22,468,Female,1,0.33333
19,1,oj,15,414,Female,1,0.0625
19,1,jn,21,468,Female,1,0.125
19,1,nh,11,349,Female,1,0.8
19,1,hi,14,478,Female,1,0.07692
19,1,ic,4,411,Female,1,1
19,1,cg,10,464,Female,1,0.1
19,1,gl,17,390,Female,1,0.2
19,1,lc,4,473,Female,1,0.25
19,1,co,22,490,Female,1,0.3
19,1,oh,11,375,Female,1,0.0625
19,0,hj,16,412,Female,1,0.15385
19,1,jo,22,361,Female,1,0.25
19,1,oe,8,391,Female,1,0.125
19,1,ef,9,330,Female,1,0.08333
19,1,fo,22,466,Female,1,0.33333
19,1,om,20,535,Female,1,0.0625
19,1,mb,3,479,Female,1,0.11111
19,1,bh,11,404,Female,1,0.125
19,1,hh,11,423,Female,1,0.07692
19,1,hc,4,426,Female,1,0.07692
19,1,ce,8,489,Female,1,0.1
19,1,ec,4,406,Female,1,0.08333
19,1,cc,4,391,Female,1,0.1
19,0,ch,10,407,Female,1,0.1
19,1,he,8,456,Female,1,0.07692
19,1,ep,23,475,Female,1,0.08333
19,1,pf,9,423,Female,1,0.2
19,0,fe,9,245,Female,1,0.33333
19,1,eh,11,496,Female,1,0.08333
19,1,hm,20,514,Female,1,0.07692
19,1,mf,9,406,Female,1,0.11111
19,1,fm,20,462,Female,1,0.33333
19,1,mn,21,417,Female,1,0.11111
19,1,nh,11,371,Female,1,0.8
19,1,hl,17,445,Female,1,0.07692
19,1,lk,16,356,Female,1,0.25
19,1,kk,16,434,Female,1,0.125
19,1,kh,11,373,Female,1,0.25
19,1,hd,4,447,Female,1,0.07692
19,1,do,22,451,Female,1,0.33333
19,1,on,21,473,Female,1,0.0625
19,1,nk,16,374,Female,1,0.2
19,1,ke,8,426,Female,1,0.125
19,1,eo,22,458,Female,1,0.08333
19,1,oa,2,441,Female,1,0.25
19,1,ae,8,422,Female,1,0.16667
19,1,em,20,427,Female,1,0.08333
19,1,mo,22,434,Female,1,0.22222
19,1,oo,22,459,Female,1,0.0625
19,1,op,23,415,Female,1,0.0625
19,0,pg,9,514,Female,1,0.2
19,1,gm,20,504,Female,1,0.2
19,1,me,8,366,Female,1,0.22222
19,1,ed,4,389,Female,1,0.83333
19,1,da,2,586,Female,1,0.33333
19,1,ab,3,419,Female,1,0.33333
19,0,bp,16,495,Female,1,0.125
19,1,pe,8,495,Female,1,0.2
19,1,ee,8,570,Female,1,0.16667
19,1,eb,3,505,Female,1,0.08333
19,1,be,8,459,Female,1,0.125
19,1,bb,3,446,Female,1,0.25
19,1,bc,4,454,Female,1,0.125
19,1,co,22,444,Female,1,0.3
19,1,oa,2,601,Female,1,0.25
19,1,ao,22,762,Female,1,0.33333
19,1,oc,4,578,Female,1,0.125
19,1,ck,16,401,Female,1,0.1
19,1,kg,10,388,Female,1,0.125
19,1,gn,21,430,Female,1,0.2
19,1,nh,11,377,Female,1,0.8
19,1,hn,11,595,Female,1,0.07692
19,1,nh,21,440,Female,1,0.8
19,1,hp,23,414,Female,1,0.07692
19,1,pm,20,481,Female,1,0.2
19,1,mh,11,399,Female,1,0.11111
19,1,hj,15,374,Female,1,0.15385
19,1,jh,11,369,Female,1,0.125
19,1,hg,10,431,Female,1,0.15385
19,1,gj,15,410,Female,1,0.2
19,1,jo,22,357,Female,1,0.25
19,1,oc,4,423,Female,1,0.125
19,1,cp,23,423,Female,1,0.1
19,1,pd,5,437,Female,1,0.02
19,1,dk,16,360,Female,1,0.33333
19,0,kh,12,441,Female,1,0.25
19,1,hg,10,396,Female,1,0.15385
19,1,gk,16,325,Female,1,0.2
19,1,kb,3,528,Female,1,0.125
19,1,bb,3,464,Female,1,0.25
19,1,bo,22,467,Female,1,0.25
19,1,oa,2,469,Female,1,0.25
19,1,ab,3,398,Female,1,0.33333
19,1,bo,22,450,Female,1,0.25
19,1,oa,2,415,Female,1,0.25
19,1,am,20,474,Female,1,0.16667
19,0,mj,9,384,Female,1,0.11111
19,1,jc,4,422,Female,1,0.125
19,1,co,22,476,Female,1,0.3
19,1,ok,16,360,Female,1,0.0625
19,1,km,20,493,Female,1,0.125
19,1,mo,22,507,Female,1,0.22222
19,1,ol,17,482,Female,1,0.0625
19,1,lo,22,482,Female,1,0.25
19,1,oe,8,483,Female,1,0.125
19,1,ee,8,462,Female,1,0.16667
19,1,ek,16,427,Female,1,0.08333
19,1,kc,4,466,Female,1,0.125
19,1,cl,17,434,Female,1,0.1
19,1,lm,20,562,Female,1,0.25
19,1,me,8,490,Female,1,0.22222
19,1,ea,2,435,Female,1,0.08333
19,1,ao,22,866,Female,1,0.33333
19,1,oj,15,377,Female,1,0.0625
19,1,jn,21,451,Female,1,0.125
19,1,nh,11,460,Female,1,0.8
19,1,hi,14,452,Female,1,0.07692
19,1,ic,4,510,Female,1,1
19,1,cg,10,439,Female,1,0.1
19,1,gl,17,461,Female,1,0.2
19,1,lc,4,530,Female,1,0.25
19,1,co,22,523,Female,1,0.3
19,1,oh,11,462,Female,1,0.0625
19,1,hj,15,341,Female,1,0.15385
19,1,jo,22,500,Female,1,0.25
19,1,oe,8,437,Female,1,0.125
19,1,ef,9,433,Female,1,0.08333
19,1,fo,22,503,Female,1,0.33333
19,1,om,20,528,Female,1,0.0625
19,1,mb,3,476,Female,1,0.11111
19,1,bh,11,477,Female,1,0.125
19,1,hh,11,559,Female,1,0.07692
19,1,hc,4,466,Female,1,0.07692
19,1,ce,8,692,Female,1,0.1
19,1,ec,4,483,Female,1,0.08333
19,1,cc,4,475,Female,1,0.1
19,1,ch,11,487,Female,1,0.1
19,1,he,8,456,Female,1,0.07692
19,1,ep,23,851,Female,1,0.08333
19,1,pf,9,512,Female,1,0.2
19,1,fe,8,424,Female,1,0.33333
19,1,eh,11,481,Female,1,0.08333
19,1,hm,20,484,Female,1,0.07692
19,1,mf,9,424,Female,1,0.11111
19,1,fm,20,462,Female,1,0.33333
19,1,mn,21,420,Female,1,0.11111
19,1,nh,11,491,Female,1,0.8
19,1,hl,17,568,Female,1,0.07692
19,1,lk,16,391,Female,1,0.25
19,1,kk,16,359,Female,1,0.125
19,1,kh,11,486,Female,1,0.25
19,1,hd,4,447,Female,1,0.07692
19,1,do,22,459,Female,1,0.33333
19,1,on,21,430,Female,1,0.0625
19,1,nk,16,404,Female,1,0.2
19,1,ke,8,477,Female,1,0.125
19,1,eo,22,446,Female,1,0.08333
19,1,oa,2,594,Female,1,0.25
19,1,ae,8,403,Female,1,0.16667
19,1,em,20,455,Female,1,0.08333
19,1,mo,22,398,Female,1,0.22222
19,1,oo,22,339,Female,1,0.0625
19,1,op,23,413,Female,1,0.0625
19,1,pg,10,415,Female,1,0.2
19,1,gm,20,431,Female,1,0.2
19,1,me,8,457,Female,1,0.22222
19,1,ed,4,444,Female,1,0.83333
19,1,da,2,548,Female,1,0.33333
19,1,ab,3,419,Female,1,0.33333
19,1,bp,23,407,Female,1,0.125
19,1,pe,8,485,Female,1,0.2
19,1,ee,8,419,Female,1,0.16667
19,1,eb,3,435,Female,1,0.08333
19,1,be,8,418,Female,1,0.125
19,1,bb,3,492,Female,1,0.25
19,1,bc,4,475,Female,1,0.125
19,1,co,22,467,Female,1,0.3
19,1,oa,2,591,Female,1,0.25
19,1,ao,22,496,Female,1,0.33333
19,1,oc,4,480,Female,1,0.125
19,1,ck,16,420,Female,1,0.1
19,1,kg,10,381,Female,1,0.125
19,1,gn,21,407,Female,1,0.2
19,0,nh,5,488,Female,1,0.8
19,1,hn,11,424,Female,1,0.07692
19,1,nh,21,501,Female,1,0.8
19,1,hp,23,418,Female,1,0.07692
19,1,pm,20,500,Female,1,0.2
19,1,mh,11,530,Female,1,0.11111
19,1,hj,15,396,Female,1,0.15385
19,1,jh,11,458,Female,1,0.125
19,1,hg,10,439,Female,1,0.15385
19,1,gj,15,354,Female,1,0.2
19,1,jo,22,365,Female,1,0.25
19,1,oc,4,537,Female,1,0.125
19,1,cp,23,428,Female,1,0.1
19,1,pd,5,509,Female,1,0.02
19,1,dk,16,373,Female,1,0.33333
19,1,kh,11,455,Female,1,0.25
19,1,hg,10,449,Female,1,0.15385
19,1,gk,16,137,Female,1,0.2
19,1,kb,3,595,Female,1,0.125
19,1,bb,3,466,Female,1,0.25
19,0,bo,16,596,Female,1,0.25
19,1,oa,2,671,Female,1,0.25
19,1,ab,3,837,Female,1,0.33333
19,1,bo,22,464,Female,1,0.25
19,1,oa,2,499,Female,1,0.25
19,1,am,20,860,Female,1,0.16667
19,1,mj,15,370,Female,1,0.11111
19,1,jc,4,424,Female,1,0.125
19,1,co,22,458,Female,1,0.3
19,1,ok,16,369,Female,1,0.0625
19,1,km,20,419,Female,1,0.125
19,1,mo,22,409,Female,1,0.22222
19,1,ol,17,418,Female,1,0.0625
19,1,lo,22,408,Female,1,0.25
19,1,oe,8,512,Female,1,0.125
19,1,ee,8,387,Female,1,0.16667
19,1,ek,16,378,Female,1,0.08333
19,1,kc,4,478,Female,1,0.125
19,1,cl,17,420,Female,1,0.1
19,1,lm,20,496,Female,1,0.25
19,1,me,8,404,Female,1,0.22222
19,1,ea,2,446,Female,1,0.08333
19,1,ao,22,425,Female,1,0.33333
19,1,oj,15,398,Female,1,0.0625
19,1,jn,21,388,Female,1,0.125
19,1,nh,11,574,Female,1,0.8
19,1,hi,14,484,Female,1,0.07692
19,1,ic,4,445,Female,1,1
19,1,cg,10,344,Female,1,0.1
19,1,gl,17,397,Female,1,0.2
19,1,lc,4,536,Female,1,0.25
19,1,co,22,430,Female,1,0.3
19,0,oh,10,457,Female,1,0.0625
19,1,hj,15,409,Female,1,0.15385
19,1,jo,22,370,Female,1,0.25
19,1,oe,8,451,Female,1,0.125
19,1,ef,9,391,Female,1,0.08333
19,1,fo,22,413,Female,1,0.33333
19,1,om,20,489,Female,1,0.0625
