age,bigram_freq,Conc_initial,concreteness,Freq_initial,Group,Initial,diversity,Letters_initial,letters,subject,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,sex,Syll_initial,Syll_trailing,item,W_NW,accuracy,correct,correct_response,dm_source_file,response_time,trans_prob,word_freq,freq_initial
30,0,2.5,2.03,0.18,3,berate,#N/A,6,8,1,Verb,Verb,,7,1,2,2,involved,w,71.42857143,1,[word_response],subject-1.csv,741,0,19964,18
30,0,4.63,4.4,8.91,3,ski,17,3,8,1,Verb,Noun,,7,1,1,2,aircraft,w,71.42857143,1,[word_response],subject-1.csv,515,0,6203,891
30,0,,4,1.93,3,chilli,5,6,4,1,Noun,Verb,,3,1,2,1,call,w,75,1,[word_response],subject-1.csv,418,0,19484,193
30,0,4.04,2.5,6.46,3,oval,9,4,7,1,Adjective,Noun,,3,1,2,1,hipster,w,72.22222222,1,[word_response],subject-1.csv,273,0,19060,646
30,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,1,Noun,Verb,,,1,2,1,hugs,w,71.69811321,1,[word_response],subject-1.csv,510,0,103,11
30,0,4.1,4,3.95,3,tides,4,5,5,1,Noun,Adjective,,,1,1,1,mauve,w,73.33333333,0,[word_response],subject-1.csv,482,0,222,395
30,0,3.7,4.69,15.35,3,reaches,16,7,6,1,Verb,Noun,,,1,2,2,timers,w,74.62686567,1,[word_response],subject-1.csv,775,0,51,1535
30,0,2.34,2.31,962.8,3,way,263,3,5,1,Adverb,Verb,,4,1,1,2,agree,w,75.64102564,0,[word_response],subject-1.csv,524,0,8181,96280
30,0,4.18,3.82,1.04,3,fart,#N/A,4,6,1,Verb,Adverb,,4,1,1,1,course,w,75.94936709,1,[word_response],subject-1.csv,698,0,19694,104
30,0,3.25,3.2,737.78,3,year,343,4,7,1,Noun,Noun,,6,1,1,2,hundred,w,75.30864198,0,[word_response],subject-1.csv,451,0,19109,73778
30,0,3.04,4.91,0.85,3,recede,#N/A,6,5,1,Verb,Noun,,,1,2,1,socks,w,75.6097561,1,[word_response],subject-1.csv,1011,0,991,85
30,0,,3.03,0.14,3,gimlet,#N/A,6,6,1,Noun,Verb,,,1,2,2,coding,w,76.47058824,1,[word_response],subject-1.csv,673,0,494,14
30,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,1,Verb,Noun,,,1,2,2,model,w,75.86206897,1,[word_response],subject-1.csv,779,0,13335,12
30,0,3,2.04,141.09,3,meet,112,4,4,1,Verb,Verb,,3,1,1,1,gone,w,74.72527473,1,[word_response],subject-1.csv,591,0,19548,14109
30,0,,4.47,0.01,3,drubs,#N/A,5,5,1,Verb,Verb,,,1,1,1,nudge,w,72.91666667,1,[word_response],subject-1.csv,772,0,153,1
21,0,,3.08,0.14,3,stippled ,#N/A,9,5,10,Verb,Noun,,4,1,2,1,trade,w,92.85714286,1,[word_response],subject-10.csv,436,0,19981,14
30,,,0,,0,have,,,5,1,,,,,1,,,sihgt,nw,66.66666667,1,[nonword_response],subject-1.csv,502,0,0,0
21,0,1.64,4.56,52.8,3,faith,49,5,4,10,Noun,Noun,,,1,1,1,rink,w,96.2962963,1,[word_response],subject-10.csv,492,0,141,5280
21,0,2.72,3.68,1.22,3,trillion,#N/A,8,5,10,Noun,Verb,,,1,2,1,droop,w,96.77419355,1,[word_response],subject-10.csv,710,0,77,122
21,0,2.83,2.41,5.09,3,briskly,8,7,5,10,Adjective,Verb,,3,1,2,2,allow,w,94.59459459,1,[word_response],subject-10.csv,793,0,11469,509
21,0,3.64,2.35,32.48,3,cycle,44,5,8,10,Verb,Noun,,7,1,2,2,language,w,95.23809524,1,[word_response],subject-10.csv,687,0,18778,3248
21,0,2.17,4.22,0.05,3,rethinks,#N/A,8,5,10,Verb,Adjective,,,1,2,2,scaly,w,94.23076923,1,[word_response],subject-10.csv,866,0,75,5
21,0,,1.76,3.98,3,geese,4,5,4,10,Noun,Noun,,,1,1,1,wits,w,94.33962264,1,[word_response],subject-10.csv,697,0,400,398
21,0,3.54,1.68,0.19,3,oaken,#N/A,5,5,10,Adjective,Determiner,,3,1,2,1,whose,w,91.66666667,1,[word_response],subject-10.csv,587,0,19834,19
21,0,,3.3,0.06,3,abase,#N/A,5,6,10,Verb,Noun,,5,1,2,2,number,w,91.80327869,1,[word_response],subject-10.csv,508,0,49385,6
21,0,2,4.75,0.05,3,vexes,#N/A,5,6,10,Verb,Noun,,5,1,2,1,street,w,92.1875,1,[word_response],subject-10.csv,549,0,19614,5
21,0,2.94,3.61,172.76,3,systems,154,7,5,10,Noun,Adjective,,,1,2,1,short,w,92.30769231,1,[word_response],subject-10.csv,423,0,18652,17276
21,0,4.36,2.53,0.07,3,gunboat,#N/A,7,5,10,Noun,Verb,,4,1,2,1,found,w,92.95774648,1,[word_response],subject-10.csv,731,0,48923,7
21,0,4.64,4.8,190.4,3,building,177,8,4,10,Noun,Noun,6,3,1,2,1,food,w,93.33333333,1,[word_response],subject-10.csv,735,0,18992,19040
