age,bigram_freq,concreteness,word_freq,Initial,diversity,letters,subject,sex,item,correct,response_time,trans_prob
30,,,0,have,,,1,1,sihgt,1,502,0
30,,,0,snuffles,,,1,1,moedl,1,500,0
30,,,0,bile,,,1,1,ptah,1,437,0
30,,,0,secret,,,1,1,whsoe,1,460,0
30,,,0,their,,,1,1,fodo,0,476,0
30,,,0,chilli,,,1,1,acll,1,520,0
30,,,0,eighth,,,1,1,atcion,1,453,0
30,,,0,recent,,,1,1,adrdess,0,404,0
30,,,0,gimlet,,,1,1,coidng,1,521,0
30,,,0,acid,,,1,1,adedd,1,599,0
30,,,0,chow,,,1,1,trdae,1,487,0
30,,,0,rugby,,,1,1,stgae,0,745,0
30,,,0,lifer ,,,1,1,hgus,1,802,0
30,,,0,barbed,,,1,1,folor,1,429,0
30,,,0,quickly,,,1,1,allwo,0,671,0
30,,,0,darn,,,1,1,agered,1,576,0
30,,,0,fleet,,,1,1,adivce,0,397,0
30,,,0,way,,,1,1,agere,1,331,0
30,,,0,year,,,1,1,hunderd,0,483,0
30,,,0,ski,,,1,1,aicrraft,1,804,0
30,,,0,fart,,,1,1,ocurse,1,503,0
30,,,0,funny,,,1,1,adlut,1,534,0
30,,,0,berate,,,1,1,ivnolved,1,497,0
30,,,0,large,,,1,1,wtis,1,616,0
30,,,0,give,,,1,1,langugae,1,705,0
30,,,0,larval,,,1,1,ofod,1,728,0
30,,,0,reaches,,,1,1,timesr,1,573,0
30,,,0,fifty,,,1,1,afarid,1,657,0
30,,,0,tides,,,1,1,muave,1,564,0
30,,,0,want,,,1,1,scayl,1,722,0
30,,,0,canned,,,1,1,aggs,0,536,0
30,,,0,ozone,,,1,1,acheive,1,475,0
30,,,0,recede,,,1,1,scoks,1,556,0
30,,,0,pelvic,,,1,1,strete,1,650,0
30,,,0,toxic,,,1,1,tset,1,449,0
30,,,0,rapid,,,1,1,sprnig,1,763,0
30,,,0,hostile,,,1,1,rnik,1,784,0
30,,,0,people,,,1,1,numebr,0,659,0
30,,,0,drubs,,,1,1,nugde,1,498,0
30,,,0,glide,,,1,1,dorop,1,670,0
30,,,0,meet,,,1,1,ogne,1,582,0
30,,,0,good,,,1,1,adavnce,0,474,0
30,,,0,less,,,1,1,fuond,1,638,0
30,,,0,coiled,,,1,1,shrot,0,595,0
30,,,0,oval,,,1,1,hispter,0,866,0
30,11,4.7,487,volt,1,5,1,1,meter,1,782,0.0859375
30,,,0,glabrous,,,1,1,eeys,1,562,0
30,,,0,panics,,,1,1,gruop,0,670,0
30,0,4.71,3821,behave ,#N/A,3,1,1,pub,1,726,0
30,21,4.85,29706,beady,2,4,1,1,eyes,1,685,0.375
30,,,0,loony,,,1,1,numebr,1,710,0
30,,,0,hodiernal ,,,1,1,aronud,1,750,0
30,,,0,beady,,,1,1,insdie,1,529,0
30,0,3.07,475,abaya,#N/A,6,1,1,digest,1,864,0
30,,,0,sweeper,,,1,1,gian,1,593,0
30,12,5,1021,gilded,2,4,1,1,cage,0,541,0.041522491
30,1071,3.13,10914,would,1036,6,1,1,appear,1,524,0.004196741
30,,,0,plate,,,1,1,cgae,1,474,0
30,0,3.39,40274,miaow,#N/A,5,1,1,point,0,489,0
30,,,0,cell,,,1,1,swtich,1,650,0
30,35,3.3,49385,with,4777,6,1,1,number,1,404,5.36769E-05
30,,,0,shady,,,1,1,depe,1,598,0
30,,,0,research,,,1,1,alnog,1,655,0
30,19,4.8,3324,septic,2,4,1,1,tank,1,537,0.208791209
30,768,2.74,15429,certain,300,6,1,1,amount,1,568,0.0355046
30,10,4.7,2589,curd,1,6,1,1,cheese,1,548,0.097087379
30,375,2.14,19335,came,171,5,1,1,along,1,529,0.007949631
30,72,1.96,45286,revolve,1,6,1,1,around,1,511,0.566929134
30,,,0,abaya,,,1,1,pian,1,494,0
30,,,0,they,,,1,1,baet,1,429,0
30,,,0,polyp,,,1,1,egiht,1,560,0
30,12,2.52,985,downright,2,4,1,1,rude,1,605,0.043010753
30,,,0,inunct,,,1,1,rdue,1,490,0
30,,,0,should,,,1,1,baer,1,584,0
30,10,4.96,985,snare,1,4,1,1,drum,0,517,0.104166667
30,0,3.86,468,glabrous,#N/A,4,1,1,tuck,1,820,0
30,0,4.9,710,canorous,#N/A,4,1,1,pony,1,469,0
30,600,1.66,31588,were,2752,6,1,1,almost,1,597,0.001858552
30,12,2.94,44674,sweeper,1,6,1,1,system,1,657,0.078947368
30,367,3.48,48651,that,5217,5,1,1,place,1,491,0.000329035
30,,,0,blotter,,,1,1,sesne,1,537,0
30,,,0,benthos,,,1,1,letf,1,648,0
30,,,0,your,,,1,1,anwser,1,579,0
30,,,0,fipple,,,1,1,ssytem,1,558,0
30,,,0,will,,,1,1,appael,0,396,0
30,,,0,cadged,,,1,1,takn,1,752,0
30,0,3.11,5268,hodiernal ,#N/A,4,1,1,lies,1,484,0
30,,,0,little,,,1,1,bbay,1,676,0
30,,,0,this,,,1,1,anicent,1,942,0
30,,,0,gilded,,,1,1,objetc,1,862,0
30,,,0,even,,,1,1,aomng,1,508,0
30,,,0,downright,,,1,1,nealry,1,650,0
30,117,1.73,11002,will,1128,6,1,1,appeal,1,739,0.000459606
30,0,3.52,39112,fipple,#N/A,5,1,1,state,1,488,0
30,,,0,volt,,,1,1,deifned,0,664,0
30,,,0,behave ,,,1,1,suop,1,704,0
30,,,0,that,,,1,1,palce,1,1415,0
30,0,2.6,1150,inunct,#N/A,4,1,1,gall,1,786,0
30,,,0,deedy,,,1,1,meetr,1,583,0
30,34,3.7,47089,loony,1,4,1,1,left,1,628,0.225165563
30,186,2.38,22864,even,541,5,1,1,among,1,494,0.002580574
30,,,0,canorous,,,1,1,corenr,1,543,0
30,,,0,first,,,1,1,anunal,1,687,0
30,,,0,revolve,,,1,1,lakc,1,518,0
30,,,0,lentil,,,1,1,alnoe,1,580,0
30,,,0,septic,,,1,1,ekep,1,737,0
30,16,3.7,3755,musty,2,5,1,1,smell,1,646,0.113475177
30,0,4.75,37906,benthos,#N/A,4,1,1,head,1,527,0
30,73,5,9070,little,828,4,1,1,baby,1,462,0.00151764
30,47,3.66,6325,common,269,6,1,1,object,1,528,0.002575484
30,,,0,snare,,,1,1,ahppen,1,525,0
30,0,4.12,41547,blotter,#N/A,5,1,1,group,0,460,0
30,0,4.82,3678,panics,#N/A,5,1,1,yards,1,459,0
30,,,0,strict,,,1,1,campiagn,0,588,0
30,,,0,with,,,1,1,nubmer,1,630,0
30,,,0,certain,,,1,1,amuont,1,721,0
30,0,4.15,516,cadged,#N/A,4,1,1,limp,1,873,0
30,,,0,shitty,,,1,1,durm,1,745,0
30,,,0,would,,,1,1,appaer,1,590,0
30,10,4.12,41547,polyp,1,5,1,1,group,1,539,0.113636364
30,84,2.04,5083,this,2909,7,1,1,ancient,1,1418,0.000181331
30,,,0,miaow,,,1,1,semll,1,582,0
30,0,4.11,214,deedy,#N/A,6,1,1,scroll,1,641,0
30,67,1.78,8154,first,1261,6,1,1,annual,1,1227,0.000564448
30,,,0,musty,,,1,1,mahcine,1,540,0
30,0,3.79,5957,effable,#N/A,4,1,1,heat,1,426,0
30,,,0,effable,,,1,1,chesee,0,618,0
30,64,2.61,21935,strict,38,5,1,1,sense,1,724,0.030932818
30,226,3.97,5675,they,1616,4,1,1,beat,0,490,0.000521368
30,0,4.52,36529,shitty,#N/A,5,1,1,night,1,634,0
30,12,4.61,7500,shady,1,6,1,1,corner,1,788,0.043478261
30,125,4.88,5799,should,564,4,1,1,bear,1,806,0.001123727
30,10,4.72,1353,lentil,1,4,1,1,soup,1,426,0.3125
30,,,0,curd,,,1,1,failrue,0,1035,0
30,256,2.89,14421,your,1871,6,1,1,answer,1,645,0.001850553
30,,,0,crotch,,,1,1,sewnig,1,700,0
30,,,0,omophagy,,,1,1,sihg,1,612,0
30,,,0,total,,,1,1,figrue,1,639,0
30,11,4.77,16200,hallowed,1,6,1,1,ground,1,632,0.083333333
30,48,4.25,8938,support,208,7,1,1,machine,1,419,0.001608849
30,80,2.04,10068,total,261,4,1,1,lack,1,419,0.004553734
30,,,0,research,,,1,1,swtich,1,631,0
30,,,0,sickle,,,1,1,sttae,1,482,0
30,49,3.48,23698,lagging,1,6,1,1,behind,1,515,0.494949495
30,,,0,clearly,,,1,1,graet,1,594,0
30,0,3.28,35758,zoolatry,#N/A,8,1,1,business,0,527,0
30,0,4.07,428,panurgic,#N/A,4,1,1,stab,1,447,0
30,,,0,will,,,1,1,pltae,1,508,0
30,,,0,just,,,1,1,deisgn,1,683,0
30,,,0,could,,,1,1,culb,1,707,0
30,,,0,common,,,1,1,gruond,1,634,0
30,11,3.63,17613,ghostly,1,6,1,1,figure,1,1013,0.042307692
30,,,0,whacking,,,1,1,pnoy,1,560,0
30,0,3.69,798,ratite,#N/A,5,1,1,crisp,1,477,0
30,,,0,worldly,,,1,1,piont,1,639,0
30,,,0,marbled,,,1,1,tcuk,0,729,0
30,0,3.72,35144,labarum,#N/A,4,1,1,area,1,687,0
30,11,4.07,3316,dimmer,2,6,1,1,switch,1,663,0.150684932
