age,bigram_freq,concreteness,word_freq,Group,Initial,letters,sex,item,correct,response_time,subject,key,diversity,trans_prob
18,383,4.04,17309,6,about,5,1,eight,1,1519,2,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,370,3,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,555,4,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,507,6,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,535,7,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,375,8,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,648,10,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,425,11,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,1212,12,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,414,15,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,478,16,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,461,18,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,0,eight,1,1040,19,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,580,20,abouteight,493,0.001943018
31,383,4.04,17309,6,about,5,1,eight,1,565,22,abouteight,493,0.001943018
34,383,4.04,17309,6,about,5,1,eight,1,422,23,abouteight,493,0.001943018
30,383,4.04,17309,6,about,5,1,eight,1,379,24,abouteight,493,0.001943018
30,383,4.04,17309,6,about,5,1,eight,0,584,26,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,0,eight,1,370,28,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,580,29,abouteight,493,0.001943018
18,383,4.04,17309,6,about,5,1,eight,1,580,30,abouteight,493,0.001943018
30,383,4.04,17309,6,about,5,1,eight,1,720,31,abouteight,493,0.001943018
18,0,,0,0,above,,1,sturse,1,1172,1,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,1500,2,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,1500,3,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,876,4,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,740,5,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,627,6,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,532,7,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,481,8,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,579,9,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,532,10,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,765,11,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,363,12,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,567,13,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,0,356,14,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,507,15,abovesturse,116,0.000466056
18,0,,0,0,above,,1,sturse,1,1121,16,abovesturse,116,0.000466056
