age,bigram_freq,concreteness,correct,word_freq,initial,letters,response_time,sex,subject_nr,item,key,trans_prob
27,10,2,1,6520.5,abound,4,368,1,1,with,aboundwith,0.036
27,10,2,1,6520.5,abound,4,482,0,10,with,aboundwith,0.036
53,10,2,1,6520.5,abound,4,368,1,1,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,453,0,12,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,387,1,13,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,356,0,14,with,aboundwith,0.036
20,10,2,1,6520.5,abound,4,399,0,15,with,aboundwith,0.036
20,10,2,1,6520.5,abound,4,401,1,16,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,403,1,17,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,336,1,18,with,aboundwith,0.036
19,10,2,1,6520.5,abound,4,418,1,19,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,379,1,2,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,417,1,20,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,360,1,21,with,aboundwith,0.036
19,10,2,1,6520.5,abound,4,392,0,22,with,aboundwith,0.036
18,10,2,1,6520.5,abound,4,371,1,23,with,aboundwith,0.036
19,10,2,1,6520.5,abound,4,388,1,24,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,367,0,25,with,aboundwith,0.036
20,10,2,1,6520.5,abound,4,381,1,26,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,392,1,27,with,aboundwith,0.036
19,10,2,1,6520.5,abound,4,386,1,28,with,aboundwith,0.036
20,10,2,1,6520.5,abound,4,380,1,29,with,aboundwith,0.036
31,10,2,1,6520.5,abound,4,401,1,293,with,aboundwith,0.036
20,10,2,1,6520.5,abound,4,345,1,30,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,357,1,31,with,aboundwith,0.036
22,10,2,1,6520.5,abound,4,370,1,32,with,aboundwith,0.036
19,10,2,1,6520.5,abound,4,353,1,32,with,aboundwith,0.036
21,10,2,1,6520.5,abound,4,380,1,34,with,aboundwith,0.036
