age,bigram_frequency,concreteness,correct,diversity,word_freq,initial,letters,response_time,sex,subject_nr,item,trans_prob
20,28,2.38,1,19,30410,scarcely,4,413,1,1,able,0.007159905
20,0,2.71,1,0,3597,opulent,5,422,1,1,abuse,0
20,0,2.86,1,0,21857,jink,3,428,1,1,age,0
20,14,2.27,1,295,262447,big,3,434,1,1,all,0.00121179
20,281,1.52,1,143,2682878,few,3,439,1,1,and,0.001304734
20,13,2.71,1,597,3597,who,5,441,1,1,abuse,0.000174
20,0,3,1,0,8238,quad,3,451,1,1,add,0
20,17,3,1,196,8238,four,3,457,1,1,add,0.000303523
20,0,4.11,1,0,19076,exclaim,3,471,1,1,air,0
20,59,2.86,1,102,21857,modern,3,472,1,1,age,0.000758725
20,,,1,,,sound,6,476,1,1,awphth,0
20,,,1,,,field,5,479,1,1,apsed,0
20,,,1,,,speech,4,479,1,1,atru,0
20,103,2.73,1,111,10437,offer,6,481,1,1,advice,0.001386001
20,336,1.77,1,1743,197116,with,5,483,1,1,about,0.0000261
20,11,2.45,1,16,3304,recruit,6,489,1,1,affair,0.041797283
20,0,2.86,1,0,22099,xylophone,6,492,1,1,action,0
20,35,2.86,1,4,22099,reflex,6,492,1,1,action,0.046321526
20,,,1,,,sheet,5,494,1,1,armth,0
20,,,1,,,poor,5,498,1,1,aphth,0
20,24,2.46,1,342,27467,every,3,500,1,1,act,0.000772355
20,0,3.32,1,0,7290,wicket,6,500,1,1,active,0
20,13,1.77,1,1,197116,brag,5,501,1,1,about,0.351351351
20,10,3.33,1,2,25748,airspace,5,502,1,1,above,0.117647059
20,11,1.57,1,110,1159,trade,6,502,1,1,accord,0.000700666
20,11,4.11,1,122,19076,former,3,503,1,1,air,0.001237259
20,37,3,1,19,8238,pan,3,505,1,1,add,0.085470085
20,0,1.77,1,0,197116,acronym,5,507,1,1,about,0
20,15,3.07,1,4,25203,stumble,6,508,1,1,across,0.066037736
20,10,4.4,1,252,5078,large,5,511,1,1,adult,0.000444168
20,0,3.08,1,0,15891,oaf,7,512,1,1,account,0
20,10,1.52,1,1,2682878,acne,3,523,1,1,and,0.0746
20,10,2.74,1,8,15429,finite,6,525,1,1,amount,0.025316456
20,20,3.33,1,199,25748,face,5,527,1,1,above,0.000343073
20,0,3.14,1,0,4254,habitat,5,531,1,1,alive,0
20,0,4.4,1,0,5078,saccade,5,531,1,1,adult,0
20,0,2.45,1,0,3304,sable,6,531,1,1,affair,0
20,22,2.71,1,7,3597,racial,5,532,1,1,abuse,0.01875
20,0,2.38,1,0,30410,yonder,4,533,1,1,able,0
20,21,3.32,1,201,7290,under,6,537,1,1,active,0.004194452
20,12,4.4,1,15,5078,mature,5,537,1,1,adult,0.006774362
20,,,1,,,advance,6,539,1,1,ashluk,0
20,21,1.57,1,29,1159,lake,6,540,1,1,accord,0.010085729
20,100,3.14,1,125,4254,kept,5,541,1,1,alive,0.002446526
20,,,1,,,girl,5,543,1,1,anzed,0
20,25,2.86,1,155,22099,common,6,544,1,1,action,0.000712368
20,,,1,,,front,5,547,1,1,apths,0
20,0,3.33,1,0,25748,dissemble,5,549,1,1,above,0
20,0,3.97,1,0,966,comely,6,549,1,1,aboard,0
20,0,2.72,1,0,3941,talisman,6,551,1,1,abroad,0
20,,,1,,,saved,6,553,1,1,ashrim,0
20,,,1,,,hugs,4,554,1,1,aths,0
20,,,1,,,phone,6,556,1,1,athrex,0
20,,,1,,,nudge,6,558,1,1,awshed,0
20,10,3.07,1,144,25203,support,6,560,1,1,across,0.00187699
20,,,1,,,lion,5,561,1,1,alogg,0
20,131,2.45,1,289,3304,whole,6,562,1,1,affair,0.000535834
20,,,1,,,connection,5,563,1,1,aunde,0
20,10,3.08,1,9,15891,graphic,7,563,1,1,account,0.018656716
20,,,1,,,market,5,565,1,1,awhus,0
20,24,2.27,1,3,262447,amidst,3,566,1,1,all,0.296370968
20,0,2.12,1,0,117138,trellis,5,566,1,1,after,0
20,10,2.72,1,11,3941,shipped,6,566,1,1,abroad,0.022099448
20,10,2,1,119,56231,green,5,568,1,1,again,0.00177632
20,0,2.73,1,0,10437,ley,6,568,1,1,advice,0
20,26,2.46,1,3,27467,wrongful,3,568,1,1,act,0.07804878
20,,,1,,,picture,6,573,1,1,anuque,0
20,,,1,,,city,5,574,1,1,awtch,0
20,,,1,,,easter,5,581,1,1,aroit,0
20,,,1,,,laminate,5,583,1,1,alemn,0
20,,,1,,,subject,4,588,1,1,arls,0
20,,,1,,,razor,6,589,1,1,akrath,0
20,0,1.57,1,0,1159,nemesis,6,590,1,1,accord,0
20,,,1,,,art,5,592,1,1,ainde,0
20,22,1.8,1,240,56208,white,7,592,1,1,against,0.000814531
20,10,2.12,1,1,117138,seeker,5,592,1,1,after,0.126582278
20,13,3.97,1,26,966,climb,6,593,1,1,aboard,0.004906334
